origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
AEP,DIQ,Gol→Azul,2301.51216482112,2,AEP → CGH → CNF → DIQ,AR,BR
MII,COR,Azul→Gol,2312.991721891888,2,MII → VCP → CGH → COR,BR,AR
COR,MII,Gol→Azul,2312.991721891888,2,COR → CGH → VCP → MII,AR,BR
UMU,COR,Azul→Gol,2325.438225936214,3,UMU → CWB → FLN → POA → COR,BR,AR
COR,UMU,Gol→Azul,2325.438225936214,3,COR → POA → FLN → CWB → UMU,AR,BR
DIQ,EZE,Azul→Gol,2330.2236162516183,2,DIQ → CNF → CGH → EZE,BR,AR
EZE,DIQ,Gol→Azul,2330.2236162516183,2,EZE → CGH → CNF → DIQ,AR,BR
IPN,AEP,Azul→Gol,2340.342166471486,2,IPN → CNF → CGH → AEP,BR,AR
AEP,IPN,Gol→Azul,2340.342166471486,2,AEP → CGH → CNF → IPN,AR,BR
DIQ,ROS,Azul→Gol,2360.5769308149347,2,DIQ → CNF → GRU → ROS,BR,AR
ROS,DIQ,Gol→Azul,2360.5769308149347,2,ROS → GRU → CNF → DIQ,AR,BR
IPN,EZE,Azul→Gol,2369.053617901984,2,IPN → CNF → CGH → EZE,BR,AR
EZE,IPN,Gol→Azul,2369.0536179019846,2,EZE → CGH → CNF → IPN,AR,BR
IPN,ROS,Azul→Gol,2399.4069324653005,2,IPN → CNF → GRU → ROS,BR,AR
ROS,IPN,Gol→Azul,2399.406932465301,2,ROS → GRU → CNF → IPN,AR,BR
DIQ,VVI,Azul→Gol,2456.557289821728,2,DIQ → CNF → GRU → VVI,BR,BO
VVI,DIQ,Gol→Azul,2456.557289821728,2,VVI → GRU → CNF → DIQ,BO,BR
POJ,AEP,Azul→Gol,2475.0330487571027,2,POJ → CNF → CGH → AEP,BR,AR
AEP,POJ,Gol→Azul,2475.0330487571027,2,AEP → CGH → CNF → POJ,AR,BR
IPN,VVI,Azul→Gol,2495.387291472094,2,IPN → CNF → GRU → VVI,BR,BO
VVI,IPN,Gol→Azul,2495.387291472094,2,VVI → GRU → CNF → IPN,BO,BR
POJ,EZE,Azul→Gol,2503.7445001876013,2,POJ → CNF → CGH → EZE,BR,AR
EZE,POJ,Gol→Azul,2503.7445001876013,2,EZE → CGH → CNF → POJ,AR,BR
