origem,destino,tipo,distancia,escalas,caminho_str
EZE,FLL,Gol→Azul,8261.529202463076,2,EZE → POA → VCP → FLL
UNA,MIA,Azul→Gol,8305.902856682418,2,UNA → SSA → GRU → MIA
MIA,UNA,Gol→Azul,8305.902856682418,2,MIA → GRU → SSA → UNA
FLL,ROS,Azul→Gol,8321.048949645372,2,FLL → VCP → CGH → ROS
ROS,FLL,Gol→Azul,8321.048949645372,2,ROS → CGH → VCP → FLL
AUA,SJL,Gol→Azul,8327.624758715592,2,AUA → GRU → BSB → SJL
SJL,AUA,Azul→Gol,8327.624758715594,2,SJL → BSB → GRU → AUA
OIA,MIA,Azul→Gol,8328.731747790289,2,OIA → BSB → FOR → MIA
MIA,OIA,Gol→Azul,8328.731747790289,2,MIA → FOR → BSB → OIA
FLL,VVI,Azul→Gol,8442.500761435707,2,FLL → VCP → GRU → VVI
VVI,FLL,Gol→Azul,8442.500761435707,2,VVI → GRU → VCP → FLL
FLL,COR,Azul→Gol,8524.582926672494,2,FLL → VCP → CGH → COR
COR,FLL,Gol→Azul,8524.582926672496,2,COR → CGH → VCP → FLL
MEU,AUA,Azul→Gol,8687.22818829053,2,MEU → FOR → GRU → AUA
AUA,MEU,Gol→Azul,8687.22818829053,2,AUA → GRU → FOR → MEU
OAL,MIA,Azul→Gol,8806.552748825852,2,OAL → BSB → FOR → MIA
MIA,OAL,Gol→Azul,8806.552748825852,2,MIA → FOR → BSB → OAL
ITB,MIA,Azul→Gol,8821.495526511702,2,ITB → BSB → FOR → MIA
MIA,ITB,Gol→Azul,8821.495526511702,2,MIA → FOR → BSB → ITB
SJL,PUJ,Azul→Gol,8821.958718148793,2,SJL → BSB → GRU → PUJ
PUJ,SJL,Gol→Azul,8821.958718148793,2,PUJ → GRU → BSB → SJL
QGP,MIA,Azul→Gol,8862.545573864176,2,QGP → REC → GRU → MIA
MIA,QGP,Gol→Azul,8862.545573864176,2,MIA → GRU → REC → QGP
MEU,PUJ,Azul→Gol,9181.56214772373,2,MEU → FOR → GRU → PUJ
