origin,destination,origin_city,dest_city,path,path_length,stops,total_distance,direct_distance,efficiency,airlines,segments
MIA,AAX,Miami International Airport,Romeu Zema Airport,MIA → PUJ → BSB → UDI → PLU → AAX,6,4,7015.91,6196.47,0.883,"G3, AD","[{'from': 'MIA', 'to': 'PUJ', 'airline': 'G3', 'distance': 1466.3}, {'from': 'PUJ', 'to': 'BSB', 'airline': 'G3', 'distance': 4435.05}, {'from': 'BSB', 'to': 'UDI', 'airline': 'AD', 'distance': 336.74}, {'from': 'UDI', 'to': 'PLU', 'airline': 'AD', 'distance': 461.13}, {'from': 'PLU', 'to': 'AAX', 'airline': 'AD', 'distance': 316.69}]"
JFK,GVR,John F Kennedy International Airport,Coronel Altino Machado de Oliveira Airport,JFK → GRU → PLU → GVR,4,2,8372.44,7390.86,0.883,"G3, AD","[{'from': 'JFK', 'to': 'GRU', 'airline': 'G3', 'distance': 7663.98}, {'from': 'GRU', 'to': 'PLU', 'airline': 'AD', 'distance': 476.22}, {'from': 'PLU', 'to': 'GVR', 'airline': 'AD', 'distance': 232.24}]"
GVR,JFK,Coronel Altino Machado de Oliveira Airport,John F Kennedy International Airport,GVR → PLU → GRU → JFK,4,2,8372.44,7390.86,0.883,"G3, AD","[{'from': 'GVR', 'to': 'PLU', 'airline': 'AD', 'distance': 232.24}, {'from': 'PLU', 'to': 'GRU', 'airline': 'AD', 'distance': 476.22}, {'from': 'GRU', 'to': 'JFK', 'airline': 'G3', 'distance': 7663.98}]"
CNF,LIS,Tancredo Neves International Airport,Humberto Delgado Airport (Lisbon Portela Airport),CNF → VCP → LIS,3,1,8426.89,7439.1,0.883,"G3, AD","[{'from': 'CNF', 'to': 'VCP', 'airline': 'G3', 'distance': 498.78}, {'from': 'VCP', 'to': 'LIS', 'airline': 'AD', 'distance': 7928.11}]"
DTW,PGZ,Detroit Metropolitan Wayne County Airport,Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,DTW → GRU → CWB → VCP → PGZ,5,3,9320.94,8233.49,0.883,"G3, AD","[{'from': 'DTW', 'to': 'GRU', 'airline': 'G3', 'distance': 8223.66}, {'from': 'GRU', 'to': 'CWB', 'airline': 'G3', 'distance': 359.1}, {'from': 'CWB', 'to': 'VCP', 'airline': 'G3', 'distance': 348.41}, {'from': 'VCP', 'to': 'PGZ', 'airline': 'AD', 'distance': 389.77}]"
GYN,TXF,Santa Genoveva Airport,9 de Maio - Teixeira de Freitas Airport,GYN → CNF → TXF,3,1,1156.86,1020.04,0.882,"G3, AD","[{'from': 'GYN', 'to': 'CNF', 'airline': 'G3', 'distance': 646.73}, {'from': 'CNF', 'to': 'TXF', 'airline': 'AD', 'distance': 510.13}]"
BPS,CLV,Porto Seguro Airport,Nelson Ribeiro Guimar�es Airport,BPS → CNF → CLV,3,1,1158.74,1022.51,0.882,"G3, AD","[{'from': 'BPS', 'to': 'CNF', 'airline': 'G3', 'distance': 626.76}, {'from': 'CNF', 'to': 'CLV', 'airline': 'AD', 'distance': 531.98}]"
MII,VDC,Frank Miloye Milenkowichi�Mar�lia State Airport,Vit�ria da Conquista Airport,MII → VCP → CNF → VDC,4,2,1423.11,1255.5,0.882,"G3, AD","[{'from': 'MII', 'to': 'VCP', 'airline': 'AD', 'distance': 300.43}, {'from': 'VCP', 'to': 'CNF', 'airline': 'G3', 'distance': 498.78}, {'from': 'CNF', 'to': 'VDC', 'airline': 'AD', 'distance': 623.9}]"
VDC,MII,Vit�ria da Conquista Airport,Frank Miloye Milenkowichi�Mar�lia State Airport,VDC → CNF → VCP → MII,4,2,1423.11,1255.5,0.882,"G3, AD","[{'from': 'VDC', 'to': 'CNF', 'airline': 'AD', 'distance': 623.9}, {'from': 'CNF', 'to': 'VCP', 'airline': 'G3', 'distance': 498.78}, {'from': 'VCP', 'to': 'MII', 'airline': 'AD', 'distance': 300.43}]"
AAX,PAV,Romeu Zema Airport,Paulo Afonso Airport,AAX → CNF → SSA → PAV,4,2,1662.82,1467.42,0.882,"G3, AD","[{'from': 'AAX', 'to': 'CNF', 'airline': 'AD', 'distance': 313.13}, {'from': 'CNF', 'to': 'SSA', 'airline': 'G3', 'distance': 959.57}, {'from': 'SSA', 'to': 'PAV', 'airline': 'AD', 'distance': 390.12}]"
PAV,CFB,Paulo Afonso Airport,Cabo Frio Airport,PAV → SSA → CNF → CFB,4,2,1765.71,1557.61,0.882,"G3, AD","[{'from': 'PAV', 'to': 'SSA', 'airline': 'AD', 'distance': 390.12}, {'from': 'SSA', 'to': 'CNF', 'airline': 'G3', 'distance': 959.57}, {'from': 'CNF', 'to': 'CFB', 'airline': 'AD', 'distance': 416.02}]"
