Airline_ID,Airline_Name,Departure,Destination,Departure_Name,Destination_Name,Departure_Lat,Departure_Lon,Destination_Lat,Destination_Lon,Distance_km,Is_Domestic
G3,Gol,CNF,UDI,Tancredo Neves International Airport,Ten. Cel. Aviador C�sar Bombonato Airport,-19.62444305,-43.9719429,-18.883612,-48.225277,454.01551347438834,False
G3,Gol,CNF,VCP,Tancredo Neves International Airport,Viracopos International Airport,-19.62444305,-43.9719429,-23.00740051,-47.1344986,498.7754467547607,True
G3,Gol,CNF,VIX,Tancredo Neves International Airport,Eurico de Aguiar Salles Airport,-19.62444305,-43.9719429,-20.258057,-40.286388,391.6228668703334,False
G3,Gol,COR,GRU,Ingeniero Ambrosio Taravella Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-31.323601,-64.208,-23.43555641,-46.47305679,1954.940057953887,False
G3,Gol,CPV,SSA,Presidente Jo�o Suassuna Airport,Deputado Luiz Eduardo Magalh�es International Airport,-7.26992,-35.8964,-12.9086113,-38.32249832,680.8825013917563,False
G3,Gol,CWB,BSB,Afonso Pena Airport,Presidente Juscelino Kubistschek International Airport,-25.5284996,-49.17580032,-15.86916733,-47.92083359,1081.9455400375746,True
G3,Gol,CWB,CGH,Afonso Pena Airport,Congonhas Airport,-25.5284996,-49.17580032,-23.62611008,-46.65638733,331.12110524686204,True
G3,Gol,CWB,EZE,Afonso Pena Airport,Ministro Pistarini International Airport,-25.5284996,-49.17580032,-34.8222,-58.5358,1368.7410499730493,False
G3,Gol,CWB,GIG,Afonso Pena Airport,Rio Gale�o � Tom Jobim International Airport,-25.5284996,-49.17580032,-22.80999947,-43.25055695,672.7076550247898,True
G3,Gol,CWB,GRU,Afonso Pena Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-25.5284996,-49.17580032,-23.43555641,-46.47305679,359.10047571296775,True
G3,Gol,CWB,IGU,Afonso Pena Airport,Cataratas International Airport,-25.5284996,-49.17580032,-25.60027885,-54.48500061,532.5850520319774,False
G3,Gol,CWB,LDB,Afonso Pena Airport,Governador Jos� Richa Airport,-25.5284996,-49.17580032,-23.33359909,-51.13010025,314.1695982463111,False
G3,Gol,CWB,MGF,Afonso Pena Airport,Regional de Maring� - S�lvio Nane Junior Airport,-25.5284996,-49.17580032,-23.4794445,-52.01222229,366.4131221460486,False
G3,Gol,CWB,POA,Afonso Pena Airport,Salgado Filho Airport,-25.5284996,-49.17580032,-29.99440002,-51.17139816,533.9636266400217,True
G3,Gol,CWB,VCP,Afonso Pena Airport,Viracopos International Airport,-25.5284996,-49.17580032,-23.00740051,-47.1344986,348.41466908810753,True
G3,Gol,CXJ,CGH,Hugo Cantergiani Regional Airport,Congonhas Airport,-29.19709969,-51.1875,-23.62611008,-46.65638733,766.1993937173319,False
G3,Gol,CZS,RBR,Cruzeiro do Sul Airport,Pl�cido de Castro Airport,-7.599909782,-72.76950073,-9.868888855,-67.89805603,591.8291107386378,False
G3,Gol,DTW,GRU,Detroit Metropolitan Wayne County Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,42.21239853,-83.35340118,-23.43555641,-46.47305679,8223.663940930004,False
G3,Gol,EZE,CWB,Ministro Pistarini International Airport,Afonso Pena Airport,-34.8222,-58.5358,-25.5284996,-49.17580032,1368.7410499730493,False
G3,Gol,EZE,FLN,Ministro Pistarini International Airport,Herc�lio Luz International Airport,-34.8222,-58.5358,-27.67027855,-48.55250168,1236.9669202959858,False
G3,Gol,EZE,FOR,Ministro Pistarini International Airport,Pinto Martins International Airport,-34.8222,-58.5358,-3.776279926,-38.5326004,4021.179580456793,False
G3,Gol,EZE,GIG,Ministro Pistarini International Airport,Rio Gale�o � Tom Jobim International Airport,-34.8222,-58.5358,-22.80999947,-43.25055695,1995.7731423126775,False
G3,Gol,EZE,GRU,Ministro Pistarini International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-34.8222,-58.5358,-23.43555641,-46.47305679,1722.1992253892101,False
G3,Gol,EZE,POA,Ministro Pistarini International Airport,Salgado Filho Airport,-34.8222,-58.5358,-29.99440002,-51.17139816,874.828093423322,False
G3,Gol,FEN,REC,Fernando de Noronha Airport,Guararapes - Gilberto Freyre International Airport,-3.85493,-32.423302,-8.126489639,-34.92359924,549.5622252962162,False
G3,Gol,FLN,CGH,Herc�lio Luz International Airport,Congonhas Airport,-27.67027855,-48.55250168,-23.62611008,-46.65638733,488.18069534582213,True
G3,Gol,FLN,EZE,Herc�lio Luz International Airport,Ministro Pistarini International Airport,-27.67027855,-48.55250168,-34.8222,-58.5358,1236.9669202959858,False
G3,Gol,FLN,GIG,Herc�lio Luz International Airport,Rio Gale�o � Tom Jobim International Airport,-27.67027855,-48.55250168,-22.80999947,-43.25055695,759.0277322983144,True
G3,Gol,FLN,GRU,Herc�lio Luz International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-27.67027855,-48.55250168,-23.43555641,-46.47305679,514.9856745349628,True
G3,Gol,FLN,POA,Herc�lio Luz International Airport,Salgado Filho Airport,-27.67027855,-48.55250168,-29.99440002,-51.17139816,363.10728340053413,True
G3,Gol,FLN,XAP,Herc�lio Luz International Airport,Serafin Enoss Bertaso Airport,-27.67027855,-48.55250168,-27.13419914,-52.65660095,409.491641946421,False
G3,Gol,FOR,BEL,Pinto Martins International Airport,Val de Cans/J�lio Cezar Ribeiro International Airport,-3.776279926,-38.5326004,-1.37925005,-48.47629929,1136.191822278624,True
G3,Gol,FOR,BSB,Pinto Martins International Airport,Presidente Juscelino Kubistschek International Airport,-3.776279926,-38.5326004,-15.86916733,-47.92083359,1691.6957616202426,True
G3,Gol,FOR,EZE,Pinto Martins International Airport,Ministro Pistarini International Airport,-3.776279926,-38.5326004,-34.8222,-58.5358,4021.179580456793,False
G3,Gol,FOR,GIG,Pinto Martins International Airport,Rio Gale�o � Tom Jobim International Airport,-3.776279926,-38.5326004,-22.80999947,-43.25055695,2176.517061771464,True
G3,Gol,FOR,GRU,Pinto Martins International Airport,Guarulhos - Governador Andr� Franco Montoro International Airport,-3.776279926,-38.5326004,-23.43555641,-46.47305679,2346.5924924216756,True
G3,Gol,FOR,NAT,Pinto Martins International Airport,Governador Alu�zio Alves International Airport,-3.776279926,-38.5326004,-5.768056,-35.376111,413.9768406130197,True
